sistema;classe;lc;rb;fe;lm;nfe;nlm;cbo;wmc;dit;rfc;maxNest;loc;nom;classification
jasperreports;net.sf.jasperreports.swing.JRViewerPanel;1;0;1;0;3;0;24;141;13;151;5;779;40;HetAgg
jasperreports;net.sf.jasperreports.view.JRDesignViewer;0;1;1;0;1;0;11;15;6;17;3;80;10;HetAgg
jasperreports;net.sf.jasperreports.view.JRViewer;1;0;1;0;5;0;27;221;13;202;5;1420;74;HetAgg
jhotdraw;net.n3.nanoxml.NonValidator;0;0;1;1;1;1;7;65;1;46;4;314;15;HetAgg
jhotdraw;net.n3.nanoxml.XMLElement;1;0;1;0;3;0;4;127;1;53;3;486;60;HetAgg
jhotdraw;org.jhotdraw.app.action.app.ExitAction;0;0;1;1;1;1;11;35;3;46;4;260;10;HetAgg
jhotdraw;org.jhotdraw.app.MDIApplication;0;0;1;1;2;2;21;61;4;108;4;435;19;HetAgg
jhotdraw;org.jhotdraw.app.OSXApplication;0;0;1;1;4;1;22;75;4;99;4;470;26;HetAgg
jhotdraw;org.jhotdraw.app.SDIApplication;0;0;1;1;3;1;13;66;3;89;4;313;21;HetAgg
jhotdraw;org.jhotdraw.color.ColorSliderUI;0;0;1;1;5;1;7;60;8;53;3;362;25;HetAgg
jhotdraw;org.jhotdraw.color.ColorTrackImageProducer;0;0;1;1;3;1;6;25;2;15;2;103;13;HetAgg
jhotdraw;org.jhotdraw.color.HSVHarmonicColorWheelImageProducer;0;1;1;0;1;0;7;21;4;16;3;130;8;HetAgg
jhotdraw;org.jhotdraw.color.JHarmonicColorWheel;0;0;1;1;2;1;11;31;6;54;5;236;13;HetAgg
jhotdraw;org.jhotdraw.draw.AbstractAttributedCompositeFigure;1;0;1;0;1;0;11;63;4;68;4;183;27;HetAgg
jhotdraw;org.jhotdraw.draw.AbstractAttributedDecoratedFigure;0;1;1;0;2;0;9;24;4;30;2;92;15;HetAgg
jhotdraw;org.jhotdraw.draw.AbstractAttributedFigure;1;1;1;0;1;0;11;58;3;59;4;174;25;HetAgg
jhotdraw;org.jhotdraw.draw.AbstractDrawing;0;1;1;0;1;0;9;27;5;22;3;86;17;HetAgg
jhotdraw;org.jhotdraw.draw.AbstractFigure;1;0;1;0;4;0;17;111;2;51;4;342;60;HetAgg
jhotdraw;org.jhotdraw.draw.action.ButtonFactory;1;0;1;0;3;0;64;120;1;118;3;950;70;HetAgg
jhotdraw;org.jhotdraw.draw.AttributeKeys;0;0;1;1;4;3;19;47;1;26;3;241;9;HetAgg
jhotdraw;org.jhotdraw.draw.BezierFigure;0;0;1;1;7;1;22;117;4;103;5;446;55;HetAgg
jhotdraw;org.jhotdraw.draw.DefaultDrawingView;1;0;1;1;12;2;22;238;4;189;5;1067;81;HetAgg
jhotdraw;org.jhotdraw.draw.DefaultDrawingViewTransferHandler;0;0;1;1;1;1;14;85;3;68;9;508;13;HetAgg
jhotdraw;org.jhotdraw.draw.DiamondFigure;0;1;1;0;3;0;9;22;4;21;1;168;14;HetAgg
jhotdraw;org.jhotdraw.draw.GridConstrainer;0;1;1;0;3;0;6;101;3;19;3;314;24;HetAgg
jhotdraw;org.jhotdraw.draw.handle.BezierControlPointHandle;0;0;1;1;1;1;15;54;2;53;2;243;17;HetAgg
jhotdraw;org.jhotdraw.draw.handle.BezierNodeHandle;0;0;1;1;1;1;16;86;2;51;2;276;18;HetAgg
jhotdraw;org.jhotdraw.draw.handle.BoundsOutlineHandle;0;0;1;1;1;1;6;19;2;15;2;115;9;HetAgg
jhotdraw;org.jhotdraw.draw.handle.RoundRectangleRadiusHandle;0;0;1;1;1;1;12;17;2;27;2;101;9;HetAgg
jhotdraw;org.jhotdraw.draw.io.ImageInputFormat;0;0;1;1;1;1;8;27;1;25;3;112;14;HetAgg
jhotdraw;org.jhotdraw.draw.io.ImageOutputFormat;0;0;1;1;1;1;7;27;1;36;2;134;15;HetAgg
jhotdraw;org.jhotdraw.draw.layouter.HorizontalLayouter;0;0;1;1;2;1;7;10;2;9;3;47;2;HetAgg
jhotdraw;org.jhotdraw.draw.layouter.VerticalLayouter;0;0;1;1;2;1;7;12;2;9;3;54;2;HetAgg
